data_source,year,datetime_bin,chl,chl_sd,chl_bincount
MODIS-Aqua,2002,3,0.195582000000,0.21389600,11
MODIS-Aqua,2002,4,0.178498052631,0.20994700,19
MODIS-Aqua,2003,1,0.269900863636,0.39183200,22
MODIS-Aqua,2003,2,0.174412916666,0.22751800,24
MODIS-Aqua,2003,3,0.192544750000,0.26700300,12
MODIS-Aqua,2003,4,0.210014266666,0.29685600,15
MODIS-Aqua,2004,1,0.304208428571,0.44781300,14
MODIS-Aqua,2004,2,0.173635000000,0.24292100,21
MODIS-Aqua,2004,3,0.190278000000,0.23527700,11
MODIS-Aqua,2004,4,0.196395153846,0.26371400,13
MODIS-Aqua,2005,1,0.312309031250,0.65514500,32
MODIS-Aqua,2005,2,0.164204421052,0.26071800,19
MODIS-Aqua,2005,3,0.187769769230,0.23937200,13
MODIS-Aqua,2005,4,0.151546300000,0.18987500,10
MODIS-Aqua,2006,1,0.344266944444,0.67172100,18
MODIS-Aqua,2006,2,0.166531368421,0.24181700,19
MODIS-Aqua,2006,3,0.181055466666,0.25836300,15
MODIS-Aqua,2006,4,0.149746526315,0.19997500,19
MODIS-Aqua,2007,1,0.252642960000,0.47405400,25
MODIS-Aqua,2007,2,0.149363894736,0.21703700,19
MODIS-Aqua,2007,3,0.173572000000,0.21626800,11
MODIS-Aqua,2007,4,0.204221777777,0.38469300,9
MODIS-Aqua,2008,1,0.259861066666,0.30008500,15
MODIS-Aqua,2008,2,0.172334625000,0.22175800,16
MODIS-Aqua,2008,3,0.160930307692,0.21310100,13
MODIS-Aqua,2008,4,0.157530500000,0.33664700,16
MODIS-Aqua,2009,1,0.350797565217,0.66779300,23
MODIS-Aqua,2009,2,0.150046000000,0.18426500,17
MODIS-Aqua,2009,3,0.174214666666,0.22238300,15
MODIS-Aqua,2009,4,0.165660444444,0.19264000,9
MODIS-Aqua,2010,1,0.209658055555,0.29365000,18
MODIS-Aqua,2010,2,0.143523964285,0.17406600,28
MODIS-Aqua,2010,3,0.178744230769,0.25396800,13
MODIS-Aqua,2010,4,0.230774300000,0.28153300,10
MODIS-Aqua,2011,1,0.285270888888,0.32798600,9
MODIS-Aqua,2011,2,0.206590615384,0.34347500,13
MODIS-Aqua,2011,3,0.188545769230,0.24090900,13
MODIS-Aqua,2011,4,0.168900500000,0.20701300,12
MODIS-Aqua,2012,1,0.255677789473,0.69040700,19
MODIS-Aqua,2012,2,0.153400333333,0.17455300,15
MODIS-Aqua,2012,3,0.178100684210,0.20636300,19
MODIS-Aqua,2012,4,0.180988600000,0.23046100,10
MODIS-Aqua,2013,1,0.235684800000,0.35700800,15
MODIS-Aqua,2013,2,0.165197333333,0.23362700,15
MODIS-Aqua,2013,3,0.189244285714,0.24946100,7
MODIS-Aqua,2013,4,0.181669700000,0.28160400,20
